STATUS | wrapper  | 2024/02/20 10:30:40.123 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/02/20 10:30:40.124 | Java Service Wrapper Professional Edition 64-bit 3.5.46
STATUS | wrapper  | 2024/02/20 10:30:40.124 |   Copyright (C) 1999-2021 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2024/02/20 10:30:40.124 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2024/02/20 10:30:40.124 |   Licensed to Zoho Corporation Pvt. Ltd. for ManageEngine Applications Manager
STATUS | wrapper  | 2024/02/20 10:30:40.124 | 
STATUS | wrapper  | 2024/02/20 10:30:40.505 | Launching a JVM...
INFO   | jvm 1    | 2024/02/20 10:30:51.623 | INFO: APM Insight javaagent v6.0.1 successfully hooked up with JVM (PID:11598). For more information check agent logs located at /opt/ManageEngine/AppManager16/working/apminsight/self-monitor
INFO   | jvm 1    | 2024/02/20 10:30:53.028 | WrapperManager: Initializing...
INFO   | jvm 1    | 2024/02/20 10:30:53.431 | skip OS compatibility check : false
INFO   | jvm 1    | 2024/02/20 10:30:53.431 | exitcode : 0
INFO   | jvm 1    | 2024/02/20 10:30:53.431 | OS Architecture : 64
INFO   | jvm 1    | 2024/02/20 10:30:53.431 | createAPMStartupDetailsFile() :: apmprocessid already present in file : 
INFO   | jvm 1    | 2024/02/20 10:30:54.434 | AppManagerStartUpUtil -> backup done for About.properties
INFO   | jvm 1    | 2024/02/20 10:31:08.252 | *****************************************
INFO   | jvm 1    | 2024/02/20 10:31:08.252 | WARNING : It seems that the DISPLAY variable has not been set properly
INFO   | jvm 1    | 2024/02/20 10:31:08.252 | *****************************************
INFO   | jvm 1    | 2024/02/20 10:31:08.453 | This evaluation copy is valid for 29 days
INFO   | jvm 1    | 2024/02/20 10:31:08.453 | Plugin : false :: DBType ? PGSQL :: isBundledPgsql ? True
INFO   | jvm 1    | 2024/02/20 10:31:08.453 | CreateSchema :: instantiateConnection :: urlstr --> jdbc:postgresql://localhost:15432/amdb?ApplicationName=ApplicationsManager&dontTrackOpenResources=true&useUnicode=true&characterEncoding=UTF-8
INFO   | jvm 1    | 2024/02/20 10:31:10.256 | 
INFO   | jvm 1    | 2024/02/20 10:31:10.757 |  [Tue Feb 20 10:31:10 UTC 2024] Starting Applications Manager "Primary" Server Modules, please wait ...
INFO   | jvm 1    | 2024/02/20 10:31:11.458 |  
INFO   | jvm 1    | 2024/02/20 10:31:11.458 | 
INFO   | jvm 1    | 2024/02/20 10:31:11.458 | 
INFO   | jvm 1    | 2024/02/20 10:31:11.459 | [Tue Feb 20 10:31:11 UTC 2024] Process : AMServerStartUp                 [ Started ] 
INFO   | jvm 1    | 2024/02/20 10:31:12.460 | [Tue Feb 20 10:31:12 UTC 2024] Process : DBUserStorageServer             [ Started ] 
INFO   | jvm 1    | 2024/02/20 10:31:12.460 | [Tue Feb 20 10:31:12 UTC 2024] Process : AuthMgr                         [ Started ] 
INFO   | jvm 1    | 2024/02/20 10:31:12.460 | [Tue Feb 20 10:31:12 UTC 2024] Process : AMDistributionProcess           [ Started ] 
INFO   | jvm 1    | 2024/02/20 10:31:13.969 | [Tue Feb 20 10:31:13 UTC 2024] Process : WebTokenRefreshOnStartup        [ Started ] 
INFO   | jvm 1    | 2024/02/20 10:31:13.969 | [Tue Feb 20 10:31:13 UTC 2024] Process : AMDataCleanupProcess            [ Started ] 
INFO   | jvm 1    | 2024/02/20 10:31:13.969 | [Tue Feb 20 10:31:13 UTC 2024] Process : Site24x7IntegrationProcess      [ Started ] 
INFO   | jvm 1    | 2024/02/20 10:31:13.970 | [Tue Feb 20 10:31:13 UTC 2024] Process : RunJSPModule                    [ Started ] 
INFO   | jvm 1    | 2024/02/20 10:31:14.977 | [Tue Feb 20 10:31:14 UTC 2024] Process : StartRelatedServices            [ Started ] 
INFO   | jvm 1    | 2024/02/20 10:31:14.977 | [Tue Feb 20 10:31:14 UTC 2024] Process : AMScriptProcess                 [ Started ] 
INFO   | jvm 1    | 2024/02/20 10:31:14.977 | [Tue Feb 20 10:31:14 UTC 2024] Process : WSMProcess                      [ Started ] 
